title;university;author;date;nokiaScore;link;abstract;isNokiaProject;evidence
Next-Generation Arena Wristband  — A Case Study of Nokia Corporation;Laurea UAS;"Donovan, Jasmine; Hämäläinen, Lasse; Kröger, Otto; Närvä, Kaisla; Puustinen, Aliisa; Virtanen, Petteri";2023;17;https://theseus.fi/handle/10024/820511;"Today, event arenas need to find solutions to attract more customers and provide new experiences at their events to stay competitive. The goal of this thesis was to ideate next-generation arena experiences at the Nokia Arena. The concept proposed is to include LED wristbands, to be called NOKIAband, at the Nokia Arena, to bring more atmosphere and interactivity during the performances. In the development phase, the Design Sprint method was used to establish a knowledge base by various research methods. Desk research found that LED wristbands are a new phenomenon that has been an enormous success. From a survey conducted, it became clear that there would be a demand for this service. Also, research into the technologies available today, including heat mapping and 5G, was conducted. 

A prototype of the NOKIAband was designed and the usability and likeability were tested on potential users. A study of Nokia’s technologies indicated that the concept can be realized and could be implemented by Nokia. The results demonstrated that the NOKIAband would be attractive to users, to the arena and technically feasible. 

Future development prospects considered included adding new features like vibration to the wristbands. In addition, adding two-way communication between the individual NOKIAband and the system would make it possible to have a call button service, for example. 

In conclusion, the proposed NOKIAband can technically be implemented and would be valuable to both visitors and the Nokia Arena as well as Nokia. Utilizing the latest technology and trends, an eye-catching concept was accomplished, the NOKIAband, providing new experiences for the Nokia Arena customers.";NO;"kia appears only as the case study context and proposed implementer; there is no evidence the thesis was commissioned by or done in collaboration with Nokia."
Predicting trajectories of peripheral agents for safe mobile robot navigation in industrial environments;Aalto University;Pourasgari, Sina;2025-09-28;17;https://aaltodoc.aalto.fi/handle/123456789/140127;"This thesis investigates short-horizon trajectory prediction of surrounding agents (humans and robots) as a proposed enabler for safer, more efficient control of Autonomous Mobile Robots (AMRs) in industrial environments. Conducted at Nokia Bell Labs, the work leverages the company’s Autonomous Robot Orchestration Solution, which provides factory-wide situational awareness, enabling trajectory predictions to be fed into the controller for collision anticipation.

A reproducible pipeline is developed and evaluated to produce explainable predictions for the controller, suitable for future certification. The pipeline includes video-based detection and homography transformation, data filtering, deterministic predictors (Constant Velocity; Constant Turn-Rate and Velocity), and a proposed hybrid physics-aware method under development that seeks to balance interpretability and adaptability.

Models are assessed on public pedestrian datasets and on in-house recordings of human and robot motion using Average Displacement Error (ADE) and Final Displacement Error (FDE) metrics. Results are reported as distributions; the acceptable accuracy range ultimately depends on safety margins to be specified in relevant safety standards and controller requirements. Within this evaluation, deterministic baselines provide strong short-horizon reference points. The proposed hybrid method has been iteratively improved and currently shows advantages over the baselines on the robot-motion dataset, whereas performance on pedestrian datasets and particularly on long-horizon FDE remains challenging.

Overall, the pipeline is intended for integration with Nokia Bell Labs’ orchestrator to enable anticipatory safety in multi-agent, dynamic industrial environments.";YES;The abstract explicitly states the thesis was conducted at Nokia Bell Labs and intended for integration with Nokia Bell Labs’ orchestrator.
Machine learning-based prediction of RSRP in cellular networks;Aalto University;Akbar, Aawez;2025-12-29;9;https://aaltodoc.aalto.fi/handle/123456789/141972;"Proactive mobility management represents an important driver of reliable connectivity within fifth generation (5G), beyond-5G (B5G), and future sixth generation (6G) networks. In these contexts, dense networks create difficulties for traditional reactive handover (HO) solutions. These HO decisions are largely dependent on reference signal received power (RSRP), and therefore precisely predicting future RSRP measurements can support more intelligent HOs. Industrial stakeholders, such as Nokia, are at the forefront of research efforts related to standardization within the 3rd Generation Partnership Project (3GPP) environment. In addition, they are investigating artificial intelligence and machine learning (AI/ML) techniques to enhance radio resource management (RRM).

This thesis presents an industry-driven case study done in collaboration with Nokia, which utilizes real-world drive-test measurement data.  The thesis evaluates the feasibility of low-complexity ML models to predict RSRP by utilizing only the raw time series measurements and without relying on any auxiliary data. The models tested are linear regression (LR), random forest (RF), and k-nearest neighbors (KNN), which are evaluated under multiple realistic train-test strategies and are compared against the sample-and-hold (SnH) baseline. This approach reflects the practical constraints that are often present in real networks.

The results indicate that simple ML models generally struggle to outperform the SnH baseline in most generalized prediction tasks. However, in some more restricted scenarios, e.g., UE-specific and site-specific prediction, the RF model achieves modest and yet consistent improvements when compared to SnH. These results suggest that even though low-complexity ML models might be limited in their capacity to generalize, they can provide appreciable gains in UE and site-specific environments. These findings are also largely consistent with industry views and support current 3GPP efforts in optimizing prediction accuracy and feasibility in proactive mobility management solutions by companies like Nokia.";YES;The abstract explicitly states the thesis was done in collaboration with Nokia.
Something that connects people: Pluralising the Nokia design archive through social remembering;Aalto University;Chen, Lu;2025-12-31;9;https://aaltodoc.aalto.fi/handle/123456789/142590;"Archives are documentary by-products generated in activities of both individuals and collectives. They are crucial actors in safeguarding individual and social memory and promoting democracy. Thus, accessibility is an integral part of archival preservation. Since the turn of the millennium, digitisation has been considered a transformative tool for both preservation and access. 

However, accessibility is not a natural outcome of digitality. For one thing, digital obsolescence affects the stability of records. For another, the design of digital interfaces often disguises the assumptions and biases of the process. Furthermore, existing archival user research has predominantly focused on academic users and their archival research experiences, which limits the possibility of reading wider archival users.

Combining Stuart Hall’s notion of ‘living archive’ and the Records Continuum Model, this thesis recognises the plurality in interpreting archival materials and the possibility of using them outside academic settings. I conducted a single-case study on the Nokia Design Archive, exploring the potential for the archive to engage the public through social remembering.

For this thesis, I introduced the concept of ‘social rememberer’, referring to the group of users who are neither experienced archival researchers nor the creators of the records (i.e., Nokia designers), yet are curious about the archive because of their previous experiences with Nokia’s design products. I studied six social rememberers’ explorations with the archive through semi-structured interviews. In addition, I designed a set of interview probes, A Souvenir from Your Memory, to elicit their recollections and prompt the discussion about archival pluralisation.

The reflexive thematic analysis reveals three main themes: (1) dimensions of remembering, (2) navigating between memory and archival logic, (3) embedding the archive into its social life. These findings together addressed the research questions of this thesis. Firstly, rememberers do not only rely on their memories and experiences with Nokia’s design when exploring the archive. Their present interest and expertise eventually enriched their journey in the archive. Secondly, the major challenges for rememberers are the mismatch between archival vocabulary and their everyday language, the technical limitations of the current digital portal, and the communication of archival boundaries. Four design opportunities were proposed during the discussion: (1) creating visual pathways, (2) linking contextual information, (3) presenting a curated storyline, and (4) enabling natural language interactions. However, these proposals should be further evaluated before implementation. Lastly, these findings together present the possibility of linking this archive with other collections and knowledge sources, which implies the importance of interoperability in archival pluralisation.

This thesis contributes to the field of digital cultural heritage and archival user study, focusing on the dynamics between social remembering and archival interfaces. In addition, my design for the interview probe, A Souvenir from Your Memory, explored interdisciplinary and participatory techniques in archival user research. The format and learnings can be utilised by other practitioners and researchers in the field of digital cultural heritage, open knowledge, and possibly material culture.";NO;kia appears only as the single-case study subject (the Nokia Design Archive), with no indication the thesis was commissioned by or conducted in collaboration with Nokia.
Machine learning approach to 5G layer 1 code review;Aalto University;Porębski, Michał;2023-01-23;9;https://aaltodoc.aalto.fi/handle/123456789/119344;"The programming is used in most of the industries and domains of life. Programming projects are becoming bigger and bigger, with millions of developers working on them across the world. Such projects are sometimes the core of precise, delicate and expensive operations, like space missions. They often require autonomous work for many years, therefore they have to be thoroughly tested before the exploitation. Hence, each change which is done in such project needs to be verified by automatic system and other programmers. It is not a trivial task, because a typo, a bug, a security violation, etc. easily appear in the billions of lines of code. Such mistakes need to be found and fixed, otherwise the consequences can be devastating. For that purpose, many automatic bug finding approaches are being researched. The deep neural networks are the most promising solutions. They allow for checking the issues which were caught only by other programmers and not by already existing automatic systems.

This work focuses on machine learning approach to code review and software quality assurance. It describes the recreation of neural network deepreview model and experiments with its modifications. It also proposes a different approach to a feature extraction phase. The thesis consists of descriptions of created architectures, shows results of the experiments and compares them with original article. The implemented models are tested on the database gathered from specific branch of Nokia Corporation responsible for implementation of 5G layer 1. It is described how such data are processed and analysed. It also provides a short history of the evolution of such automatic systems for code review.";NO;The thesis only says the models were tested on a database gathered from a branch of Nokia Corporation, which is too weak to show it was done for or with Nokia.
Implementation and evaluation of 5G network slicing and URSP in a physical test environment;Aalto University;Kostiainen, Riina;2025-05-21;8;https://aaltodoc.aalto.fi/handle/123456789/136635;"As mobile technologies advance and the number of connected devices increases, communication networks must continuously evolve. To meet the needs of mobile technologies 5G network introduces a new enhanced core and RAN architecture. A key innovation this new architecture enables is network slicing, which allows the network to be divided into virtual slices, each optimized for specific use cases such as autonomous driving, UL or DL prioritization, ultra-low latency applications, or security-prioritized communications.

Another key innovation is the User Equipment Route Selection Policy (URSP), which enables users to subscribe to specific network slices based on their needs, providing enhanced connectivity for applications such as secure work profiles or high-speed gaming. These new 5G technologies improve the overall data speed and delay and provide new use cases in automation and factories with ultra-reliability and consistency in the network.

This thesis plans and implements a new gNB configuration file to Nokia's physical 5G test environment. The reason for creating a new gNB configuration file is to implement network slicing and standardize the configuration file architecture among the Nokia FiVe test network. The new configuration is tested with a few special slices, including URSP technology and Nokia 5G 360 camera use cases, where the benefits of sliced network architecture are shown.

In both measurement cases with special slices, we compared the device capabilities in the network between the default slice and the special slice dedicated to the device data traffic. In the measurements, we see a clear difference between the default slice and low latency slice performance when using the Nokia 5G 360 camera as a testing device. With the URSP test, we can see a clear difference in DL throughput values between two applications in the same UE. The application dedicated to a special slice got a consistent network connection, while the application in the default slice got a lot of variance in the throughput.";YES;The abstract states the thesis implemented a new gNB configuration file to Nokia's physical 5G test environment and standardized configuration in the Nokia FiVe test network.
How database normalization and schema versioning improve system efficiency, data integrity, and flexibility in changing business settings;Aalto University;Pykälistö, Mateus;2024;1;https://aaltodoc.aalto.fi/handle/123456789/128752;"With an emphasis on major corporations like Nokia, this thesis investigates the effects of database normalization and schema versioning on system effective-ness, data integrity, and flexibility inside database management systems. The study investigates the implementation issues and successful techniques of these technologies through semi-structured interviews with database administration specialists. 

The results show that sophisticated schema versioning and normalization great-ly improve data management by enabling systems to adjust flexibly to new re-quirements without sacrificing efficiency. The study highlights several significant obstacles, including the difficulty in implementing schema modifications and the limitations imposed by company regulations. One of the highlighted effective solutions is the combination of schema management tools and version control systems to enhance traceability and rollback capabilities.";NO;kia is mentioned only as an example of a major corporation, with no sign the thesis was commissioned by or conducted with Nokia.
Improving distributed compilation efficiency for large-scale C++ projects;Aalto University;Klemetti, Sami;2025-05-25;1;https://aaltodoc.aalto.fi/handle/123456789/136614;This thesis investigates how large-scale C++ projects can reduce build latency by tuning two open-source distributed compilation systems: Icecream and Distcc. A three-node Ubuntu 22.04 LTS testbed compiled a 400-file Nokia system component using both default and optimised configurations. Results show that an optimised Icecream setup shortens total build time by up to 23 % under high load compared to an equally tuned Distcc setup, while sustaining near-linear scalability up to 16 concurrent jobs per node. The analysis also explores network overhead, fault tolerance during simulated node failure, and task distribution efficiency. The findings are distilled into a configuration model and a set of practical recommendations for engineering teams aiming to improve build throughput in continuous integration environments.;NO;The text only says a Nokia system component was used as the build target, with no indication the thesis was commissioned by, done with, or conducted at Nokia.
Network security policies for containers in cloud applications;Aalto University;Verma, Vishal;2024-01-22;1;https://aaltodoc.aalto.fi/handle/123456789/126428;"This thesis delves into implementing network security policies within the application namespace of a Kubernetes cluster. As containerization and reliance on cloud environments continue to grow, robust network security becomes increasingly crucial. This research investigates the utilization of a specific port scanning tool in a Kubernetes cluster and utilizes a Container Network Interface (CNI) plugin to enforce network policies derived from the tool’s scanning results. 

The study offers an in-depth background on containerization, cloud applications, Kubernetes, and network security. Through a literature review, it highlights previous studies and approaches in the field, identifying existing challenges and gaps. The problem statement defines the necessity for an effective solution to enhance network security policies within containerized cloud environments.

To address this, a test environment comprising a Kubernetes cluster and the chosen port scanning tool is established. The selected CNI plugin enforces network policies generated by the tool based on port scanning outcomes. The proposed solution undergoes evaluation and validation via experiments and analysis. 

This study contributes to the expanding knowledge base on network security in containerized cloud applications. Organizations can fortify their network security policies by employing the port scanning tool and CNI plugin, thereby reducing potential risks in their cloud-based environments. While applicable to various Kubernetes clusters, its primary focus remains the implementation and optimization of security measures within the MXIE, Nokia’s Kubernetes cluster tailored for Edge ecosystems. The insights derived from this research provide valuable guidance and practical implications for practitioners and researchers involved in cloud security and containerization domains.";YES;The thesis states its primary focus is security measures within MXIE, Nokia’s Kubernetes cluster tailored for Edge ecosystems.
Reporting of environmental impacts in the information and communications technology sector in the development of EU legislation in the 2020s;Aalto University;Leistén, Oskar;2025-12-06;0;https://aaltodoc.aalto.fi/handle/123456789/141591;EU:n kunnianhimoinen vuoden 2050 ilmastoneutraaliustavoite edellyttää merkittävää määrää investointeja ilmastotoimiin yrityksissä ja muissa organisaatioissa. Vihreiden pääomien tehokas ohjautuminen aidosti kestäviin kohteisiin edellyttää luotettavaa tietoa ja sen kulkua kestävyysraportointiverkossa. EU on laatinut kestävyyttä koskevia säännöksiä nopeasti ja niitä on moninkertaisesti enemmän kuin muilla talousalueilla. Vuonna 2024 voimaan tullut kestävyysraportointidirektiivi CSRD edellyttää päästöjen raportoinnin ulottamista laajasti arvoketjuihin sekä tuo kestävyystiedot ensimmäistä kertaa taloudellisen tilinpäätösaineiston rinnalle ja varmennettavaksi. Muutos arvoketjun raportoinnissa koskee erityisesti ICT-alaa, jonka päästöistä ylivoimaisesti suurin osa syntyy arvoketjun kautta. Ensimmäiseksi tässä tutkielmassa on käsitelty uuden kestävyysraportointilainsäädännön taustalla olevia tavoitteita, lainsäädännön ja raportointistandardien keskeisimpiä muutoksia, nykytilannetta sekä suuntaa. Toiseksi tutkielmassa on käsitelty esimerkkinä ICT-alaa ja muutamaa esimerkkiyhtiötä ja tarkasteltu raportointikäytänteiden muutoksia intensiivisen ja nopean lainsäädäntömuutoksen murrosvaiheessa. Kirjallisuuskatsauksessa on havaittu, että ennen CSRD-aikaa yritysten päästölaskennassa ja raportoimisessa sekä niiden rajauksissa on käytetty lukuisia vertailukelvottomia standardeja. Standardien muutos on johtanut siihen, etteivät yritysten päästöjen muutokset ajan kuluessa ole enää vertailukelpoisia. CSRD on yhtenäistänyt käytänteitä, mikä osoittaa, että tarve direktiiville on ollut olemassa. Tutkielmassa on myös havaittu, että Euroopan komission uusimmat raportit CSRD:n heikosta totetumisesta ensimmäiseltä vuodelta ovat linjassa myös ICT-alan raporttien kanssa. EU-lainsäätäjä on vuonna 2025 perääntynyt CSRD:n alkuperäisen suunnitellun tiukentumisen aikataulusta ja suunnittelee sen soveltamisalan rajaamista henkilöstömäärän perusteella vain 10 %:iin niistä yhtiöistä, joita direktiivin piti alun perin koskea. EU:n ilmastotavoitteen kanssa on kiire, eikä epäröintiin ole aikaa. EU-lainsäädännöllä ei ole tällä hetkellä selkeää suuntaa, mikä itsessään ei ole tarkoituk-senmukaista ilmastotavoitteiden kannalta. EU-lainsäätäjän tulisi myös tutkia, onko henkilöstömäärän käyttäminen kriteerinä CSRD:lle ylipäätään tarkoituksenmukaista, kun esimerkiksi toimialakohtaiset päästöprofiilit ovat erilaisia.;NO;The thesis page shows an Aalto bachelor’s thesis with university supervisors, and Nokia is not indicated as commissioner, collaborator, employer, or research environment.
Bridging modeling and design gap in SoC development using high-level synthesis;Aalto University;Jaskari, Roope;2025-12-12;0;https://aaltodoc.aalto.fi/handle/123456789/141439;"The shortcomings of silicon manufacturing have driven the very large-scale integration (VLSI) industry to seek higher performance and efficiency with system-on-chips (SoCs) due to the insufficient contemporary scaling of transistors on a substrate. However, traditional hardware design methodologies utilized for SoC development have become a resource bottleneck due to implementation complexity.

This bachelor’s thesis is a literature review which examines how the workflows of the modeling of SoCs and their hardware design implementation could be bridged using contemporary high-level synthesis (HLS) tools and electonic-system-level (ESL) methodologies. The goal of the thesis is to provide a view of how well these design phases can be unified, enabling a more high-level design flow, allowing accelerated development of SoCs and improved time-to-market.

The study results show that there is definite market demand for higher level design solutions, and the tools providing these solutions are actively improved. The modeling and hardware design are two distinct development phases. However, the design flow for both modeling and design can be unified with the flexibility and extensiveness of a common description and programming language SystemC, which is used for both ESL based modeling and HLS. SystemC is based on C++, which also enables higher abstraction level engineers, such as software engineers and system architects, to collaborate on register-transfer level (RTL) designs. The thesis concludes that although a unified development flow would, by principle and example, provide significant improvements to design productivity and schedule, the adoption of these solutions has not reached the state-of-the-art designs yet. Especially HLS is still maturing and is unable to reach the performance and accuracy of traditional hardware description languages (HLDs) for RTL designs. However, HLS seems to be only slightly behind traditional HDL-to-RTL flows and is likely going to be sufficient and appealing enough for wider adoption in the near future.";NO;The thesis page and abstract show only an Aalto University bachelor’s literature review with no mention of Nokia collaboration, commission, internship, or Nokia organization.
On Nasdaq Helsinki stock prices during the COVID-19 pandemic and Russo-Ukrainan War;Aalto University;Kostiander, Niklas;2023-08-29;0;https://aaltodoc.aalto.fi/handle/123456789/123313;No abstract available;NO;The thesis page shows an Aalto University bachelor's thesis on Nasdaq Helsinki stock prices with no mention of Nokia collaboration, commission, internship, or internal Nokia context.
Firm characteristics and performance in European hedge fund activism;Aalto University;Uusitalo, Pietari;2024;0;https://aaltodoc.aalto.fi/handle/123456789/127840;"Unlike in the U.S., shareholder activism is relatively new in Europe. After “corporate raiders” of the 1970s and 1980s Wall Street laid the groundwork for what is generally considered shareholder activism today, United States has, for the most part, remained the epicenter of shareholder activism. As a result, most of the research on shareholder activism concentrates on the U.S., while many of the most basic questions about shareholder activism in Europe remain unanswered. In this paper, I focus particularly on shareholder activism exercised by hedge funds in Europe and seek to answer two fundamental, yet unanswered questions: which companies do hedge fund activists target in Europe and how does hedge fund activism impact European firms’ performance.

Examining a sample of 208 events of hedge fund activism in Europe from 2011 to 2020, like in the U.S., I find that hedge fund activists in Europe target underperforming firms with significant room for improvement and characteristics emblematic to “value” stocks, such as low growth, a declining stock price, and worse analyst ratings. However, in contrast to prior studies conducted on activism in the U.S., companies targeted in Europe are larger than their matched peers. This inclination is caused by higher capital and resource hurdles for executing labor-intensive strategies in Europe deriving from structural barriers, such as economic, legislative, and linguistic fragmentation. As a result, much of the hedge fund activism in Europe is shaped by a small group of large serial activists, which are naturally biased towards large companies due to their own size. 

The frictions entail that without uniform capital markets, initiatives centering on enhancing shareholder value tend to leave smaller companies more susceptible to various agency problems activists are able to address in the U.S. This inference highlights the importance of developing a single market for capital in the whole territory of the European Union. 

As for post-intervention performance, I find further evidence against the “myopic-activists” claim which asserts that hedge fund activists are short-sighted in nature and that they pursue short-term profits at the expense of companies’ long-term performance. Measured by metrics including return on assets (ROA) and Tobin’s q, hedge fund activists significantly improve the performance of underperforming firms over time. Notably, my findings suggest that target firm performance does not only improve considerably but exceeds the level of the matched peer three years subsequent to the event year. 

Favorable results arising from hedge fund activism not only challenge the foundations of proposals advocating for increased regulation but also question the underlying basis for managerial opposition to such activism. Moreover, with both European industries and financial markets struggling for global relevance, significant improvement in firm performance provides further validation for developing a favorable environment for hedge fund activism in Europe.";NO;The thesis metadata and abstract show an Aalto School of Business bachelor's thesis with no indication of Nokia collaboration, commissioning, or employment.
Toimitusketjujen joustavuus saatavuuspulan haasteissa: Toimitusketjun hallinnan merkitys;Aalto University;Nirvinen, Alex;2024;0;https://aaltodoc.aalto.fi/handle/123456789/133489;"Tämän tutkielman tarkoituksena on tarkastella toimitusketjun saatavuuspulan syitä, vaikutuksia sekä keinoja, joilla yritykset voivat varautua ja reagoida näihin ongelmiin tehokkaasti. Tutkielmassa ilmenee, että saatavuuspulat voivat johtua tarjontahäiriöstä sekä toimitusketjun ulkoisista eli esimerkiksi luonnonkatastrofeista tai sisäisistä tekijöistä, kuten heikosta kommunikoinnista toimitusketjussa. 

Keskeisinä varautumiskeinoina saatavuuspulaan esittelen tutkielmassa muun muassa stressitestien hyödyntämisen ja niiden avulla varmuusvarastojen arvioimisen sekä optimoinnin. Lisäksi tutkimuksessa ilmenee avoimen tiedonkulun tärkeys, sekä yhteistyön merkitys toimitusketjun häiriötilanteissa. Viimeisimpänä esittelen vielä joustavan tuotteiden uudelleensuunnittelun tarjoamia etuja, sekä johdon osallistamista neuvotteluihin saatavuusongelman ratkaisemiseksi.

Tutkielman tulokset korostavat erityisesti avoimen tiedonkulun merkitystä, sekä tehokkaan ja joustavan toimitusketjun hallinnan tärkeyttä, joiden ansiosta yritykset pystyvät ylläpitämään kilpailukykyään globaaleissa ja haavoittuvissa toimintaympäristöissä.";NO;The thesis metadata and abstract show no mention of Nokia, collaboration with Nokia, or work done for Nokia.
The corporate value chain perspectives on  greenhouse gas protocol;Aalto University;Tanskanen, Paavo;2023-12-15;0;https://aaltodoc.aalto.fi/handle/123456789/125115;No abstract available;NO;The thesis page shows no indication of Nokia collaboration, commissioning, employment, or Nokia-specific context.
The Finnish prosperity paradox: Behavioural biases and lottery mindset shaping domestic investment trends;Aalto University;Järvinen, Joni;2024;0;https://aaltodoc.aalto.fi/handle/123456789/133505;"This thesis explores the paradox of Finnish prosperity by examining the relationship between behavioural biases and investment patterns among Finnish individual investors. These investors often exhibit a practice that I refer to as the ""lottery mindset,"" a term that stems from Finns believing that the lottery is the most likely way to prosper. Despite being inherently risk-averse, Finnish investors frequently engage in high-risk investment practices due to insufficient diversification and irrational optimism. Key factors influencing this paradoxical behaviour, such as a preference for dividend-yielding stocks, home bias, and the role of state ownership in domestic companies, are investigated. The thesis addresses how these factors impact Finnish individual investors' portfolio returns and risk management. By addressing these issues, it offers insights into improving financial decision-making and promoting long-term economic stability for individual investors.";NO;The thesis metadata and abstract show an Aalto University bachelor’s thesis on Finnish investors with no mention of Nokia collaboration, commissioning, internship, or Nokia environment.
Tapahtuma-areenahankkeiden merkitys kaupungin elinvoiman ja vetovoiman parantamisessa Suomessa;Aalto University;Mäkelä, Iiris;2024-09-06;0;https://aaltodoc.aalto.fi/handle/123456789/131183;"Kaupunkisuunnittelun tärkeys korostuu kaupungistumisen kiihtyessä. 73 % Suomen väestöstä asui kaupungeissa vuonna 2020, ja vuoteen 2050 mennessä vastaava osuus tulee ennusteiden mukaan olemaan 79 % (Valtioneuvosto 2022). Tapahtuma-areenahankkeet voivat toimia kaupunkien merkittävinä vetovoimatekijöinä, houkutellen matkailijoita ja investointeja, sekä parantaen samalla paikallista elinvoimaa.

Tämä kandidaatintyö käsittelee tapahtuma-areenahankkeiden merkitystä kaupunkien elinvoimaisuuden ja vetovoiman parantamisessa Suomessa. Työssä tarkastellaan areenahankkeiden, tapahtumien ja kulttuurin roolia kaupunkikeskustojen kehittämisessä sekä Oulun, Jyväskylän ja Hämeenlinnan tapahtuma-areenahankkeita, niiden rahoitusta ja haasteita. Tutkimus on toteutettu kirjallisuuskatsauksena.

Työn tulokset osoittavat, että tarkasteltavien areenahankkeiden toteuttamista perustellaan kaupunkikeskustojen kehittämisellä sekä kaupunkien elinvoimaisuuden, kilpailukyvyn ja imagon parantamisella. Areenat toimivat osana laajempia keskustakehitys-hankkeita, jotka pyrkivät edellä mainittuihin tavoitteisiin. Areenojen järjestämät tapahtumat lisäävät alueen matkailua, jota edesauttavat areenoiden keskeinen sijainti ja hyvä saavutettavuus. Tarkasteltavissa hankkeissa painotetaan areenan lisäksi kaupallisia palveluita ja asumisen kehittämistä, sillä pelkkä areena ilman muita palveluja ei houkuttele sijoittajia. Oheispalvelut lisäävät houkuttelevuutta niin asukkaiden ja matkailijoiden näkökulmasta.";NO;The thesis concerns Finnish city event-arena projects and the metadata shows no commission, collaboration, or affiliation with Nokia.
Assessing 5G and multi-access edge computing energy efficiency for industrial applications;Aalto University;Lahti, Roope;2023-05-15;0;https://aaltodoc.aalto.fi/handle/123456789/120929;Energy efficiency has always been of interest to telecommunications companies, but the expected exponential increase in data volumes in industrial applications, combined with increased instabilities in energy prices has made it a top concern for the industry. Especially in mobile networks much of this new data will be transferred over 5G, since it aims to fulfill many novel industrial use cases, such as remote machinery control, Augmented Reality, and automated optical quality control. Many of these use cases also require a novel architecture for computing, as they have strict requirements for low latency, rendering cloud computing infeasible. Edge computing presents an attractive solution, as it offers more flexibility than on-premises computing and lower latencies than cloud computing since it places computing on the edge of the mobile network. This thesis assesses the energy efficiency of both 5G and multi-access edge computing by comparing them to their main counterparts. 5G base stations are compared to 4G base stations in a production environment covering over a thousand base stations, giving an accurate mean of energy efficiency in variable environmental conditions. Edge computing is compared to on-premises computing through two industrial case studies. For mobile networks is found that 5G is considerably more energy efficient than 4G with higher data volumes found in industrial environments. This is because although the idle energy consumption of 5G base stations is found to be higher than 4G base stations, 5G is five times more energy efficient in data transfers than 4G. For multi-access edge computing it is found that some edge computing platforms consume a lot of energy even with no computing load, and edge computing energy efficiency is highly dependent on hardware and resource allocation.;NO;kia appears only as a keyword, with no indication the thesis was commissioned by or conducted in collaboration with Nokia.
Managing legitimacy during political disruption;Aalto University;Aaltio, Juhana;2024;0;https://aaltodoc.aalto.fi/handle/123456789/131272;"On the 24th of February 2022, when Russia invaded Ukraine, many companies were faced with the choice to either exit or stay in Russia. For some companies leaving was easier, while for others the choice was more difficult, as many companies had invested large amounts of money in Russia over the years and they had numerous employees working in the country. The media and public, especially in western countries, were putting significant pressure on companies to fully exit the Russian market and not fully exiting could affect the legitimacy of a company. Due to the long border and history between Russia and Finland, the feelings that the war in Ukraine evoked in the Finnish public made Finns critical about the actions of Finnish companies with operations in Russia. 

This thesis is a case study on two Finnish companies, Nokian Tyres and Fazer. Through the lens of Legitimation Theory and Stakeholder Theory, this paper focuses on what discursive legitimation strategies the two companies employed to legitimise the future of their operations in Russia, how the largest Finnish newspaper, Helsingin Sanomat, wrote about the two companies, and how the Finnish public reacted.  

The findings of the thesis highlight how different factors affect the discursive legitimation strategies utilised by companies in their communication. In the case of Nokian Tyres, which is a publicly listed Finnish company and thus their main audience for legitimation are their shareholders, the predominant discursive legitimation strategy used by Nokian Tyres was rationalisation, founded upon financial capitalist ideology, where the company rationalised their actions from the perspective of how they affects the financial stance of the company. Fazer on the other hand, is not a publicly listed company, and thus their legitimation efforts were specifically targeted towards the general public, the main customer of Fazer. The main discursive legitimation strategy used by Fazer was moralisation, which was based on the ideology of humanism, as the press releases of Fazer focused on the effects of their action on their employees in Russia, Ukraine and the feelings of their customers in Finland. These legitimation strategies resulted in widely different results and reactions from the Finnish public.";NO;The thesis is a case study about Nokian Tyres and Fazer, with no indication it was commissioned by or conducted in collaboration with Nokia.
Performance challenges with data visualizations in browser environment;Aalto University;Rajatheva, Ravindu;2023-05-15;0;https://aaltodoc.aalto.fi/handle/123456789/120907;"Information exists in many forms, from text, to equations, videos, audio, and graphical mediums. With graphical or visual mediums, it is becoming easier to absorb information where the alternatives are textual descriptions. Graphs are important vehicles of transporting information. In order to create a good graph, certain attributes need to be taken into account, such as which variables are being displayed over which axis, visual elements, and their sizes are also important to consider. In modern times with the internet and the amount of data being generated, how can all this data be fitted into a single graph? That question is the motivation for this thesis.

Presenting large data in visualizations involves a great deal of thought, effort, and ingenuity on how to proceed with what information to convey. There are times when obtaining data for such visualization come with their own challenges. This thesis investigates the obstacles facing an internal tool within a company in regard to their data retrieval method. As well as the objective to research an efficient and easy-to-use method for presenting large data on a webpage.";NO;The available thesis metadata and abstract mention only 'an internal tool within a company' and provide no explicit link to Nokia.
Load testing and optimization of a Wi-Fi management microservice in enterprise wireless networks;Aalto University;Mannonen, Samuli;2025-05-25;0;https://aaltodoc.aalto.fi/handle/123456789/136607;This thesis investigates the requirements of a Wi-Fi management micro-service to support management of 2000 Wi-Fi access points. Existing bottlenecks standing in the way of this goal are identified and fixed. Then, the hardware resource utilization of the microservice is analyzed and opportunities for optimization are identified and addressed. The thesis encompasses the design and implementation of a systematic testing approach to evaluate and optimize the microservice's performance. The methodology involves defining test cases and requirements and simulating protocol-specific management traffic by using a load testing tool, which was extended to support the specific demands of the study. Performance data is extracted through iterative testing phases, during which bottlenecks are identified and resolved using profiling tools, hardware metrics, and log analysis. The CPU utilization of the main component of the microservice was reduced by 83% and its memory allocations by 81%.;NO;The provided thesis metadata and abstract contain no mention of Nokia, Nokia collaboration, or work done at Nokia.
